what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1281404451444
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1281404451444
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281404451444
java.vm.specification.version,sysinfo,,,"1.0",1281404451444
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1281404451444
java.vm.version,sysinfo,,,"16.3-b01",1281404451444
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1281404451565
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1281404451693
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1281404451739
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1281404451821
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1281404451889
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1281404451904
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1281404452076
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1281404452114
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1281404452140
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1281404452242
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1281404452272
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281404452457
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281404454687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281404458314
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281404460088
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281406589081
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281406595879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281406595928
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281406605487
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281406605521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281406605536
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281406611026
